Date,Open,High,Low,Close,Adj Close,Volume
1993-12-03,1018.729980,1027.410034,1018.729980,1023.919983,1023.919983,0
1993-12-06,1027.680054,1041.109985,1027.680054,1041.109985,1041.109985,0
1993-12-07,1046.089966,1063.250000,1046.089966,1063.250000,1063.250000,0
1993-12-08,1064.800049,1071.020020,1060.250000,1060.790039,1060.790039,0
1993-12-09,1059.939941,1067.339966,1058.180054,1067.339966,1067.339966,0
1993-12-10,1069.609985,1082.589966,1069.609985,1075.849976,1075.849976,0
1993-12-13,1082.729980,1097.979980,1080.229980,1090.349976,1090.349976,0
1993-12-14,1092.750000,1096.609985,1085.640015,1092.660034,1092.660034,0
1993-12-15,1104.459961,1119.829956,1104.459961,1116.089966,1116.089966,0
1993-12-16,1119.479980,1120.400024,1104.339966,1112.589966,1112.589966,0
1993-12-17,1117.030029,1117.030029,1107.290039,1109.530029,1109.530029,0
1993-12-20,1116.550049,1117.839966,1097.650024,1098.079956,1098.079956,0
1993-12-21,1097.859985,1103.689941,1093.050049,1096.609985,1096.609985,0
1993-12-22,1101.709961,1126.540039,1101.709961,1121.380005,1121.380005,0
1993-12-23,1126.050049,1152.239990,1126.050049,1152.239990,1152.239990,0
1993-12-24,1158.550049,1178.459961,1154.640015,1178.459961,1178.459961,0
1993-12-27,1184.949951,1206.800049,1184.949951,1205.280029,1205.280029,0
1993-12-28,1209.050049,1225.250000,1202.069946,1223.050049,1223.050049,0
1993-12-29,1226.180054,1243.699951,1226.180054,1231.859985,1231.859985,0
1993-12-30,1239.949951,1242.650024,1216.589966,1231.729980,1231.729980,0
1993-12-31,1233.979980,1275.319946,1233.979980,1275.319946,1275.319946,0
1994-01-03,1278.609985,1290.859985,1273.630005,1288.849976,1288.849976,0
1994-01-04,1292.550049,1320.550049,1289.719971,1313.349976,1313.349976,0
1994-01-05,1321.510010,1332.040039,1314.459961,1314.459961,1314.459961,0
1994-01-06,1306.930054,1306.930054,1248.689941,1248.689941,1248.689941,0
1994-01-07,1245.270020,1245.270020,1180.959961,1190.729980,1190.729980,0
1994-01-10,1200.650024,1220.640015,1200.650024,1206.750000,1206.750000,0
1994-01-11,1208.689941,1208.689941,1139.550049,1139.550049,1139.550049,0
1994-01-12,1134.310059,1134.310059,1015.140015,1066.219971,1066.219971,0
1994-01-13,1071.290039,1083.489990,1005.940002,1029.170044,1029.170044,0
1994-01-14,1057.239990,1134.140015,1057.239990,1134.140015,1134.140015,0
1994-01-17,1140.359985,1140.359985,1099.780029,1104.140015,1104.140015,0
1994-01-18,1103.040039,1116.609985,1085.560059,1110.219971,1110.219971,0
